Review,label
Best music experience ever,1
Lots of music I can't find any place elseâœ“âœ“âœ“ I love Spotify!!! Premium is the only way to go though,0
I Actually love Spotify helps me sleep and let's me have my own Playlist I juts kinda wish you would make more skips and let Mobile people be able to loop a song!! Over all really good app,0
Absolutely fantastic. All the music I want and need is here.,1
Bro I hate the fact I can't preview sings while adding song to my playlist it's stupid. I get trying to make money but at least make it so we can play a sing whenever we want yall have over a billion downloads ur making enough money give some of us broke people some premium features. Also the amount or ads is stupid and the 30 min of ad free listening is bs two 3 min songs ain't 30 min,0
umm ive been using it for a while but ever since you guys updated it ive been getting alot of ads and whats going on with this only a limited amount of skips i really dont like that part then i have to wait a hour but ive always loved spotify but that skips thing is really pissing me off honestly,0
My Spotify app isn't working at all when I try to my some music it just stucks and It been two days.,0
"I'm about done with Spotify, no matter what I do. The songs are always in random no matter what I do and it's pissing me TF off. I'm paying $10 for service of random music? I've contacted the company regarding this and it's always the run around. ""Uninstall reinstall"" (I did) "" goto settings ' (did that also) and nothing changed. This is probably my last month of using this service. Time to start handing my money over to Amazon or YouTube",0
"ok so everything's great. Spotify is literally my home and most used app but it still hasn't given me the lyric sharing feature. i am tired of updating again and again. i really hope i get the feature now, since i have premium too. and it sucks when everyone around me has the feature.",1
Seems like the random stopping of music has been fixed.thank you! And also people If you can accept what's included on the free spotify aspotify app just upgrade And stop complaining!!,0
"Background music seems broken in Spotify. In the past the app would keep playing in the background, but now whenever my phone screen is off Spotify stops playing and i have to wake the phone for it to continue. This is really annoying... can you please fix this?",0
"Music keeps pausing constantly on my Samsung S21!!!! Terrible experience, even for downloaded songs",0
"Still need to iron out some bugs and performance issues. Having to double back gesture or if playlists is getting annoying. Fixed: I really hate that it's missing the swipe to add to queue gesture from iOS, other than that it's perfect",0
"Takes a while to open but once connected, music selections are great",1
"I honestly love this app, It has amazing sound quality and everything, but these ads its getting annoying.After playing one song one ad starts playing.And these goes on. please reduce these ads.I was getting irritated. You are just forcing us to buy premium. Please fix this or I am uninstalling Spotify",0
"I had over 50 hours of music... makes no sense to hear the same song 3 times a day. Then it gets stuck on one artist. No time for this nonsense!I I had a diverse library, and enjoyed Spotify when it worked properly. Fix your repetitive old nonsense and I'll come back.",1
What happen Spotify!! It keeps shutting off after 2 or song the app and the song stops and I need to play it again. It is annoying when every certain minutes I need to reopen and play again.,0
I never listened to Spotify before Joe Rogan. Now I love them! Not just for the podcast but also the music. And thank God Neil Young is gone. I don't want to listen to that hypocritical boomer!,0
Wonder,1
"Long, long, long time customer on many different platforms over the years. Something is seriously wrong with the recent updates. The app is almost unusable there are so many glitches and that's no exaggeration. Please pull back the recent build or get a new one out ASAP. This is the very first time I've ever even thought to cancel. I've already done reinstalls and it's not getting better. It's so bad, I would go as far as saying due to recent public protests from staff, this may be sabotage.",0
Worst experience to be a music app due to advertisements. After 1 song there are 3 consecutive advertisement wasting worth 1:24 minutes just on advertisement for my 4 or 5th song. ... ... This is really a bery bad experience for me .,0
"I've had this app for a long time with no issues, but recently it's stopped giving me the now playing window that allows me to stop and start the current song. I have to keep uninstalling and reinstalling it. If there was a recent update... it's not working!!",0
"Used to use Spotify for parties, since everyone could play music together. Sessions absolutely suck now. It's a hassle to let people join them, and the music plays on every device. It's extremely annoying. Now I just use YouTube since guests can join without hassle and add stuff to the queue.",0
"This app is amazing, I works fine for me. But when I didn't have premium there were way too many ads and it's not fair that people can't choose their own songs when they want.",0
I like this app because so many songs are there when i am going to sleep that time i think to hear songs my favourite song i type and it will come,1
This app keeps crashing. Doesn't show need of updating or any of that.,0
Smooth and always innovative,1
"Was great to use at one time. They keep updating things and changing things that are not broken. One example is car mode which is still not replaced with the ""better"" feature they said they were working on months ago. So far the only fix is buy a separate module for your car, which is only available the U.S. Very poor app experience lately.",0
Control your platform. Don't allow hate mongeringand and spread of misinformation. Very disappointed.,0
So far I like using Spotify,1
I lovr this app so many others do as well. And if it is good for over 3.5 billion people to use it is good for you to. Download the app now.,0
I'm not paying to see advertisements for podcasts. I'm not paying to see podcasts I accidentally listened to pop up permanently on my front home page. What is nonsense,0
"Update: something is wrong with the app. It is so glitchy. Trouble playing, won't connect to Bluetooth, can't see song playing or get back to it. Have to continuously close and restart app to get to play.",0
"Broken since the newest update! I can no longer use the app with my headphones. I can't see what song are playing, in the car or on the phone. I can't stop the music. I had to force stop it to stop the music!",0
"The Ads. They are more than any other music app. Decrease them before I uninstall the app. I just use it bcz I have already made a playlist on this, but the interruptions are crucially time-taking.",0
Great app for streaming. Except randomly stops playing and I have to push the play button to get it going again.,0
Listening to my favorite artists and letting me branch out to find music everyday is the best experience. Always something new and I'm here for it,1
Still haven't fixed random pausing and play bar bugs.,0
"Website works phone on my phone, but app just spins and spins and never loads. Web also connects to Google cast devices, app can't figure it out. ðŸ¤·â€â™‚ï¸",0
"A lot of music to choose from, Good app.",1
Keep it up but add all songs including garhwali,1
Best music app by far. Linked to my Peloton which is my favorite part.,1
"A great music App..,ðŸ˜ðŸ˜ðŸ˜",1
This was my top music app because I could use this app while using others without paying...UNTILL they started playing recommindations on my playlist! They should install an option if you want there recommends So I went back to youtube,0
Absolutely love using this app for music and podcasts!!,1
"The app is amazing. The selection is broad, and their recommendations are on point. I dont use premium, but ads aren't too problematic. The only problem is that the app absorbs storage. I'm not sure why, because I use wifi and clear the cache, but the app still takes up over a GB of storage. It's a minimal annoyance, but inconvenient nevertheless. Overall, I would reccomend it.",0
The onlything is when payment is due Spotify cuttes out for3days,0
Please...add the option dowloading individual songs what we like from album,0
